School.Name,School.Type,Region,Is.Party,STABBR,CONTROL,Tier,COSTT4_A,MN_EARN_WNE_P6,MD_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,SD_EARN_WNE_P6,MN_EARN_WNE_INC1_P6,MN_EARN_WNE_INC2_P6,MN_EARN_WNE_INC3_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,MD_EARN_WNE_P8,MN_EARN_WNE_P10,MD_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,SD_EARN_WNE_P10,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,BE_MN_P6,BE_MD_P6,BE_MN_P10,BE_MD_P10,ROI_MN_P6,ROI_MD_P6,ROI_MN_P10,ROI_MD_P10
California Institute of Technology,Engineering,California,FALSE,CA,Private nonprofit,Other elite schools (public and private),58755,68500,54500,25400,87000,63000,41900,42200,NA,NA,NA,77500,106300,85900,47300,142400,110200,53800,54600,NA,NA,NA,0.6861897810218979,0.8624587155963304,0.4421825023518345,0.5471944121071013,16.58582248319292,-7.24193685643775,80.92077270019573,46.20032337673389
Harvey Mudd College,Engineering,California,FALSE,CA,Private nonprofit,Other elite schools (public and private),63860,87200,72500,42600,109000,66000,38600,39400,NA,78100,94100,81700,104200,88800,51600,117900,103800,47000,49500,93000,NA,NA,0.5858715596330275,0.7046620689655173,0.49028790786948173,0.5753153153153153,36.54870028186658,13.529595991230817,63.169433134982775,39.0541810209834
Mount Holyoke College,Liberal Arts,Northeastern,FALSE,MA,Private nonprofit,Highly selective private,55454,36800,34600,20800,48800,22900,38100,40700,37900,NA,NA,39400,53900,48600,33000,66700,34000,48600,51700,54700,NA,NA,1.205521739130435,1.2821734104046243,0.8230649350649352,0.9128230452674897,-33.63869152811339,-37.60594366501965,-2.802322645796516,-12.359793702888881
Smith College,Liberal Arts,Northeastern,FALSE,MA,Private nonprofit,Highly selective private,60167,37400,35300,18900,48700,27100,NA,NA,37800,NA,NA,41300,51100,46200,26300,64000,40000,NA,NA,54100,NA,NA,1.286994652406417,1.363558073654391,0.941949119373777,1.0418528138528138,-37.839679558562,-41.32996493094221,-15.06972260541493,-23.213721807635416
Wellesley College,Liberal Arts,Northeastern,FALSE,MA,Private nonprofit,Other elite schools (public and private),59092,48600,44900,28500,59700,34000,37400,39500,51300,NA,NA,53200,71800,60800,42800,86600,60500,50200,52200,68900,NA,NA,0.9727078189300413,1.0528641425389755,0.6584066852367689,0.7775263157894737,-17.75536451634739,-24.016787382386788,21.505449130169904,2.8904081770798076
Auburn University,State,Southern,FALSE,AL,Public,Selective public,25282,43100,39500,26200,55200,35100,42000,48800,44100,38200,47900,44900,56300,48800,32700,72700,42400,55000,61000,58300,48000,63800,0.4692714617169374,0.5120405063291139,0.359246891651865,0.4144590163934426,70.47701922316273,56.2376394272605,122.6880784748042,93.02270390000791
University of Alabama at Birmingham,State,Southern,FALSE,AL,Public,Selective public,20621,39400,35100,21000,50800,32000,39400,40200,40500,36600,43900,38300,48400,41200,26300,59900,39200,51600,54400,49300,43200,57400,0.4187005076142132,0.46999430199430203,0.34084297520661155,0.40040776699029124,91.06735851801562,70.21482954269919,134.71218660588718,99.79632413558993
University of Arkansas,State,Southern,FALSE,AR,Public,Selective public,20350,40900,37100,23200,52800,30400,34100,40400,43200,37000,44600,41700,52700,44900,28700,67000,44800,44000,52800,57200,46800,58900,0.39804400977995114,0.4388140161725067,0.3089184060721063,0.3625835189309577,100.982800982801,82.30958230958231,158.96805896805895,120.63882063882063
California State University-Fullerton,State,California,FALSE,CA,Public,Selective public,15627,38500,35100,21600,50400,25200,40600,42800,39300,36300,41700,41000,51800,47200,29000,67800,37600,52800,55000,55100,47500,58200,0.3247168831168832,0.3561709401709402,0.24134362934362935,0.264864406779661,146.36846483650092,124.6112497600307,231.4775708709285,202.0413387086453
California State University-East Bay,State,California,FALSE,CA,Public,Selective public,19793,45200,40600,23300,59300,32200,30600,30000,48900,44900,45600,47700,58200,51700,32200,74300,47900,39500,42000,65500,54800,64400,0.3503185840707965,0.3900098522167488,0.2720687285223368,0.3062746615087041,128.36356287576416,105.1230232910625,194.04334865861668,161.2034557671904
