School.Name,Gender,MN_EARN_WNE_GENDER_P6
Auburn University,Male,38200
University of Alabama at Birmingham,Male,36600
University of Arkansas,Male,37000
California Institute of Technology,Male,NA
California State University-Fullerton,Male,36300
California State University-East Bay,Male,44900
California State University-Long Beach,Male,37800
California State University-Dominguez Hills,Male,37500
California State University-Chico,Male,39400
Humboldt State University,Male,29000
California State University-Sacramento,Male,39700
San Diego State University,Male,39000
California State University-Northridge,Male,35500
San Francisco State University,Male,41100
San Jose State University,Male,44500
California State University-Stanislaus,Male,37500
Harvey Mudd College,Male,78100
Pomona College,Male,35500
Occidental College,Male,38800
University of California-Berkeley,Male,49800
University of California-Davis,Male,42100
University of California-Irvine,Male,40700
University of California-Riverside,Male,34500
University of California-San Diego,Male,43400
University of California-Santa Barbara,Male,40400
University of California-Santa Cruz,Male,35600
Colorado College,Male,32900
Colorado School of Mines,Male,68900
Fort Lewis College,Male,28200
University of Connecticut,Male,46800
Wesleyan University,Male,39600
Yale University,Male,64900
University of Delaware,Male,46400
Florida Atlantic University,Male,37400
Florida State University,Male,37200
University of Florida,Male,43400
Georgia State University,Male,36000
University of Georgia,Male,40000
Boise State University,Male,31600
Idaho State University,Male,28700
University of Idaho,Male,31200
Illinois Institute of Technology,Male,60400
Illinois State University,Male,38700
Northern Illinois University,Male,35500
Ball State University,Male,33500
DePauw University,Male,40700
Grinnell College,Male,33300
Iowa State University,Male,37900
University of Iowa,Male,44300
Pittsburg State University,Male,33400
Kansas State University,Male,36300
University of Kansas,Male,42900
Morehead State University,Male,27100
University of Kentucky,Male,40200
University of Louisiana at Lafayette,Male,31400
Bates College,Male,42500
Bowdoin College,Male,48900
Colby College,Male,47500
Amherst College,Male,62000
College of the Holy Cross,Male,51600
Massachusetts Institute of Technology,Male,85600
Mount Holyoke College,Male,NA
Smith College,Male,NA
Wellesley College,Male,NA
Wentworth Institute of Technology,Male,47900
Williams College,Male,45400
Worcester Polytechnic Institute,Male,65100
Eastern Michigan University,Male,32900
Michigan State University,Male,40500
Wayne State University,Male,35300
Western Michigan University,Male,31100
Carleton College,Male,39600
Gustavus Adolphus College,Male,40600
Saint Olaf College,Male,37700
Mississippi State University,Male,31000
University of Mississippi,Male,37800
Montana State University-Billings,Male,30500
University of Nevada-Reno,Male,38800
University of Nevada-Las Vegas,Male,37900
Dartmouth College,Male,60300
Princeton University,Male,61100
Stevens Institute of Technology,Male,66500
New Mexico Institute of Mining and Technology,Male,39000
Colgate University,Male,49800
Cornell University,Male,68600
Hamilton College,Male,45400
Rensselaer Polytechnic Institute,Male,60500
Rochester Institute of Technology,Male,40800
Skidmore College,Male,39900
Siena College,Male,44200
Binghamton University,Male,44800
Stony Brook University,Male,41900
Union College,Male,45400
Vassar College,Male,38200
Appalachian State University,Male,32000
Davidson College,Male,46400
East Carolina University,Male,34700
University of North Carolina at Chapel Hill,Male,45100
University of North Carolina at Charlotte,Male,34600
Western Carolina University,Male,31200
University of North Dakota,Male,41500
Cleveland State University,Male,34600
Denison University,Male,39400
Oberlin College,Male,28300
University of Toledo,Male,34700
Wittenberg University,Male,34600
Lewis and Clark College,Male,36300
Oregon State University,Male,36400
Portland State University,Male,35200
Reed College,Male,30700
University of Oregon,Male,36400
Bucknell University,Male,58900
Carnegie Mellon University,Male,63000
Franklin and Marshall College,Male,46200
Gettysburg College,Male,43700
Juniata College,Male,35100
Lafayette College,Male,54900
Moravian College,Male,41300
Swarthmore College,Male,40400
University of Pennsylvania,Male,75800
Ursinus College,Male,41600
Brown University,Male,54000
University of Rhode Island,Male,40900
Clemson University,Male,41600
Austin Peay State University,Male,29200
University of Memphis,Male,32800
Tennessee Technological University,Male,31000
Lamar University,Male,32700
Tarleton State University,Male,34100
University of Utah,Male,36000
Utah State University,Male,26900
Southern Utah University,Male,25400
Middlebury College,Male,44200
University of Vermont,Male,39100
Randolph-Macon College,Male,34000
Virginia Commonwealth University,Male,35800
University of Richmond,Male,47700
George Mason University,Male,43400
Virginia Polytechnic Institute and State University,Male,45700
Washington and Lee University,Male,52700
Eastern Washington University,Male,34500
