School.Name,Family.Income.Tercile,MN_EARN_WNE_INC_P10
Auburn University,Lowest Income Tercile,53800
University of Alabama at Birmingham,Lowest Income Tercile,47000
University of Arkansas,Lowest Income Tercile,48600
California Institute of Technology,Lowest Income Tercile,NA
California State University-Fullerton,Lowest Income Tercile,50200
California State University-East Bay,Lowest Income Tercile,55000
California State University-Long Beach,Lowest Income Tercile,51600
California State University-Dominguez Hills,Lowest Income Tercile,44000
California State University-Chico,Lowest Income Tercile,52800
Humboldt State University,Lowest Income Tercile,39500
California State University-Sacramento,Lowest Income Tercile,51900
San Diego State University,Lowest Income Tercile,54300
California State University-Northridge,Lowest Income Tercile,48400
San Francisco State University,Lowest Income Tercile,54000
San Jose State University,Lowest Income Tercile,62100
California State University-Stanislaus,Lowest Income Tercile,47700
Harvey Mudd College,Lowest Income Tercile,NA
Pomona College,Lowest Income Tercile,NA
Occidental College,Lowest Income Tercile,54700
University of California-Berkeley,Lowest Income Tercile,75300
University of California-Davis,Lowest Income Tercile,69600
University of California-Irvine,Lowest Income Tercile,66200
University of California-Riverside,Lowest Income Tercile,56400
University of California-San Diego,Lowest Income Tercile,72900
University of California-Santa Barbara,Lowest Income Tercile,56800
University of California-Santa Cruz,Lowest Income Tercile,51900
Colorado College,Lowest Income Tercile,53000
Colorado School of Mines,Lowest Income Tercile,95000
Fort Lewis College,Lowest Income Tercile,37100
University of Connecticut,Lowest Income Tercile,61700
Wesleyan University,Lowest Income Tercile,67400
Yale University,Lowest Income Tercile,123400
University of Delaware,Lowest Income Tercile,56200
Florida Atlantic University,Lowest Income Tercile,46200
Florida State University,Lowest Income Tercile,54700
University of Florida,Lowest Income Tercile,63400
Georgia State University,Lowest Income Tercile,45600
University of Georgia,Lowest Income Tercile,57000
Boise State University,Lowest Income Tercile,39700
Idaho State University,Lowest Income Tercile,42500
University of Idaho,Lowest Income Tercile,43900
Illinois Institute of Technology,Lowest Income Tercile,93800
Illinois State University,Lowest Income Tercile,47000
Northern Illinois University,Lowest Income Tercile,46300
Ball State University,Lowest Income Tercile,40300
DePauw University,Lowest Income Tercile,54400
Grinnell College,Lowest Income Tercile,NA
Iowa State University,Lowest Income Tercile,53500
University of Iowa,Lowest Income Tercile,67300
Pittsburg State University,Lowest Income Tercile,40700
Kansas State University,Lowest Income Tercile,50300
University of Kansas,Lowest Income Tercile,62800
Morehead State University,Lowest Income Tercile,33000
University of Kentucky,Lowest Income Tercile,53700
University of Louisiana at Lafayette,Lowest Income Tercile,43900
Bates College,Lowest Income Tercile,NA
Bowdoin College,Lowest Income Tercile,NA
Colby College,Lowest Income Tercile,NA
Amherst College,Lowest Income Tercile,NA
College of the Holy Cross,Lowest Income Tercile,NA
Massachusetts Institute of Technology,Lowest Income Tercile,132300
Mount Holyoke College,Lowest Income Tercile,55100
Smith College,Lowest Income Tercile,46700
Wellesley College,Lowest Income Tercile,79600
Wentworth Institute of Technology,Lowest Income Tercile,64100
Williams College,Lowest Income Tercile,117600
Worcester Polytechnic Institute,Lowest Income Tercile,76500
Eastern Michigan University,Lowest Income Tercile,40200
Michigan State University,Lowest Income Tercile,69300
Wayne State University,Lowest Income Tercile,55500
Western Michigan University,Lowest Income Tercile,46100
Carleton College,Lowest Income Tercile,NA
Gustavus Adolphus College,Lowest Income Tercile,49300
Saint Olaf College,Lowest Income Tercile,47200
Mississippi State University,Lowest Income Tercile,42800
University of Mississippi,Lowest Income Tercile,55800
Montana State University-Billings,Lowest Income Tercile,34500
University of Nevada-Reno,Lowest Income Tercile,55400
University of Nevada-Las Vegas,Lowest Income Tercile,48100
Dartmouth College,Lowest Income Tercile,109000
Princeton University,Lowest Income Tercile,127400
Stevens Institute of Technology,Lowest Income Tercile,90300
New Mexico Institute of Mining and Technology,Lowest Income Tercile,57300
Colgate University,Lowest Income Tercile,67300
Cornell University,Lowest Income Tercile,114500
Hamilton College,Lowest Income Tercile,63400
Rensselaer Polytechnic Institute,Lowest Income Tercile,86100
Rochester Institute of Technology,Lowest Income Tercile,62100
Skidmore College,Lowest Income Tercile,57800
Siena College,Lowest Income Tercile,51600
