"","School.Name","School.Type","Region","Is.Party","STABBR","CONTROL","Tier","COSTT4_A","MN_EARN_WNE_P6","MD_EARN_WNE_P6","PCT25_EARN_WNE_P6","PCT75_EARN_WNE_P6","SD_EARN_WNE_P6","MD_EARN_WNE_P8","MN_EARN_WNE_P10","MD_EARN_WNE_P10","PCT25_EARN_WNE_P10","PCT75_EARN_WNE_P10","SD_EARN_WNE_P10","BE_MN_P6","BE_MD_P6","BE_MN_P10","BE_MD_P10","ROI_MN_P6","ROI_MD_P6","ROI_MN_P10","ROI_MD_P10","gender","gendered_Income_P10","gendered_Income_P6","family_income_level","born_Income_P10","born_Income_P6"
"6","Auburn University","State","Southern",FALSE,"AL","Public","Selective public",25282,43100,39500,26200,55200,35100,44900,56300,48800,32700,72700,42400,2.34635730858469,2.56020253164557,1.79623445825933,2.07229508196721,70.4770192231627,56.2376394272605,122.688078474804,93.0227039000079,"Female",48000,38200,"Low",55000,42000
"7","University of Alabama at Birmingham","State","Southern",FALSE,"AL","Public","Selective public",20621,39400,35100,21000,50800,32000,38300,48400,41200,26300,59900,39200,2.09350253807107,2.34997150997151,1.70421487603306,2.00203883495146,91.0673585180156,70.2148295426992,134.712186605887,99.7963241355899,"Female",43200,36600,"Low",51600,39400
"8","University of Arkansas","State","Southern",FALSE,"AR","Public","Selective public",20350,40900,37100,23200,52800,30400,41700,52700,44900,28700,67000,44800,1.99022004889976,2.19407008086253,1.54459203036053,1.81291759465479,100.982800982801,82.3095823095823,158.968058968059,120.638820638821,"Female",46800,37000,"Low",44000,34100
"9","California State University-Fullerton","State","California",FALSE,"CA","Public","Selective public",15627,38500,35100,21600,50400,25200,41000,51800,47200,29000,67800,37600,1.62358441558442,1.7808547008547,1.20671814671815,1.32432203389831,146.368464836501,124.611249760031,231.477570870929,202.041338708645,"Female",47500,36300,"Low",52800,40600
"10","California State University-East Bay","State","California",FALSE,"CA","Public","Selective public",19793,45200,40600,23300,59300,32200,47700,58200,51700,32200,74300,47900,1.75159292035398,1.95004926108374,1.36034364261168,1.53137330754352,128.363562875764,105.123023291062,194.043348658617,161.20345576719,"Female",54800,44900,"Low",39500,30600
"11","California State University-Long Beach","State","California",FALSE,"CA","Public","Selective public",17779,40000,36500,21500,52800,26700,42500,53000,48100,29100,70200,36500,1.7779,1.94838356164384,1.34181132075472,1.47850311850312,124.984532313403,105.298385735981,198.10450531526,170.543900106868,"Female",48600,37800,"Low",51900,40300
"12","California State University-Dominguez Hills","State","California",FALSE,"CA","Public","Selective public",12399,38300,33100,19000,50900,29500,37600,48500,44700,27100,65500,30200,1.29493472584856,1.49836858006042,1.02259793814433,1.10953020134228,208.895878699895,166.957012662311,291.160577465925,260.512944592306,"Female",46700,37500,"Low",54300,40300
"13","California State University-Chico","State","California",FALSE,"CA","Public","Selective public",21715,42900,38200,22200,56700,29300,42800,55400,48100,29400,72600,42200,2.02470862470862,2.2738219895288,1.56787003610108,1.80582120582121,97.5592908128022,75.9152659451992,155.123186737278,121.505871517384,"Female",49300,39400,"Low",48400,36700
"14","Humboldt State University","State","California",FALSE,"CA","Public","Selective public",22287,30200,26200,15200,40500,22300,31100,40100,36600,19000,54100,29200,2.95192052980132,3.40259541984733,2.2231421446384,2.43573770491803,35.5050029164984,17.5573204110019,79.9255171176022,64.2212949252928,"Female",36000,29000,"Low",54000,42900
"15","California State University-Sacramento","State","California",FALSE,"CA","Public","Selective public",18241,41800,38600,23700,54300,26500,44300,54200,48900,31000,69500,38100,1.74555023923445,1.89025906735751,1.34619926199262,1.4921063394683,129.154103393454,111.611205526013,197.13283262979,168.07740803684,"Female",49400,39700,"Low",62100,46500
"16","San Diego State University","State","California",FALSE,"CA","Public","Selective public",20631,41600,37700,23300,54300,28300,44200,55900,51000,32500,73100,38800,1.98375,2.18896551724138,1.47627906976744,1.61811764705882,101.638311279143,82.7347195967234,170.951480781348,147.200814308565,"Female",51500,39000,"Low",47700,38500
"19","San Jose State University","State","California",FALSE,"CA","Public","Selective public",21112,47200,42200,25500,61800,36500,49400,63800,56100,34600,83900,47800,1.78915254237288,2.00113744075829,1.32363636363636,1.505311942959,123.569533914362,99.8863205759757,202.197802197802,165.725653656688,"Female",59000,44500,"Low",54700,39300
"20","California State University-Stanislaus","State","California",FALSE,"CA","Public","Selective public",16190,39300,35000,20200,51200,28100,39300,48500,45400,27500,62500,32700,1.64783715012723,1.85028571428571,1.33525773195876,1.42643171806167,142.742433600988,116.182828906733,199.567634342187,180.420012353305,"Female",46200,37500,"Low",75300,57000
"21","Pomona College","Liberal Arts","California",FALSE,"CA","Private nonprofit","Other elite schools (public and private)",59730,51200,41100,18900,61200,61100,51300,77300,58100,41300,83000,82300,4.66640625,5.81313868613139,3.09081500646831,4.11222030981067,-14.2809308555165,-31.1903566047212,29.4157040013394,-2.72894692784196,"Female",59700,35500,"Low",69600,45200
"22","Occidental College","Liberal Arts","California",FALSE,"CA","Private nonprofit","Other elite schools (public and private)",63363,40700,39200,22600,53800,25600,47200,59400,50600,29700,76100,48100,6.22732186732187,6.46561224489796,4.26686868686869,5.00893280632411,-35.7669302274198,-38.1342423812004,-6.25443871028834,-20.1426700124678,"Female",55600,38800,"Low",66200,43700
"23","University of California-Berkeley","State","California",FALSE,"CA","Public","Highly selective public",33020,57600,48700,27500,75500,50800,56800,79000,64700,41000,99700,72200,2.29305555555556,2.71211498973306,1.67189873417722,2.04142194744977,74.4397334948516,47.4863718958207,139.248940036342,95.9418534221684,"Female",69200,49800,"Low",56400,36000
"24","University of California-Davis","State","California",FALSE,"CA","Public","Selective public",32638,45300,40400,23600,59400,31400,49200,68100,58200,38800,85800,52000,2.88194260485651,3.23148514851485,1.91706314243759,2.24316151202749,38.7952693179729,23.782094491084,108.652490961456,78.3197499846804,"Female",63400,42100,"Low",72900,47200
"25","University of California-Irvine","State","California",FALSE,"CA","Public","Highly selective public",29759,44300,41100,24500,58900,28900,48800,65800,58400,35400,84800,50300,2.68704288939052,2.89625304136253,1.80905775075988,2.03828767123288,48.8625289828287,38.1094794851978,121.109580295037,96.2431533317652,"Female",60400,40700,"Low",56800,41400
"26","University of California-Riverside","State","California",FALSE,"CA","Public","Selective public",30174,36800,33700,19900,49000,25400,42000,55300,49700,31800,70500,41400,3.27978260869565,3.58148367952522,2.1825678119349,2.42849094567404,21.9593027109432,11.6855571021409,83.2703652150858,64.7113408895075,"Female",49700,34500,"Low",51900,37900
"28","University of California-Santa Barbara","State","California",TRUE,"CA","Public","Highly selective public",33826,42800,39000,22900,56300,29300,46800,62400,55300,34000,79800,50700,3.16130841121495,3.46933333333333,2.16833333333333,2.44672694394213,26.5298882516407,15.2959262106072,84.4734819369716,63.4837107550405,"Female",56300,40400,"Low",95000,75500
"29","University of California-Santa Cruz","State","California",FALSE,"CA","Public","Selective public",33036,38400,33800,19400,50200,28500,40700,53800,46900,27700,68100,42700,3.44125,3.90958579881657,2.45620817843866,2.81756929637527,16.2368325463131,2.31262864753602,62.8526455987408,41.9663397505751,"Female",49000,35600,"Low",37100,29500
"30","Colorado College","Liberal Arts","Western",FALSE,"CO","Private nonprofit","Highly selective private",57400,35900,34000,17300,49100,25800,40600,49900,45400,27100,61600,40300,6.39554317548747,6.75294117647059,4.60120240480962,5.05726872246696,-37.4564459930314,-40.7665505226481,-13.0662020905923,-20.9059233449477,"Female",45900,32900,"Low",61700,47800
"31","Colorado School of Mines","Engineering","Western",FALSE,"CO","Public","Highly selective public",30154,74700,69200,51100,92000,40000,72200,95600,84900,55800,118300,64800,1.61467202141901,1.74300578034682,1.26167364016736,1.42068315665489,147.728327916694,129.488625058035,217.039198779598,181.55468594548,"Female",89600,68900,"Low",67400,44000
"32","Fort Lewis College","Liberal Arts","Western",FALSE,"CO","Public","Selective public",21691,30500,28100,16600,39000,20800,30500,39400,35200,20700,50800,28900,2.84472131147541,3.08768683274021,2.20213197969543,2.46488636363636,40.6113134479738,29.5468166520677,81.6421557327924,62.2792863399567,"Female",35000,28200,"Low",123400,67800
"33","University of Connecticut","State","Northeastern",FALSE,"CT","Public","Highly selective public",26966,49800,46400,29400,64500,40400,52700,66000,58400,39900,82500,49200,2.1659437751004,2.32465517241379,1.63430303030303,1.84698630136986,84.6770006675072,72.0685307424164,144.752651487058,116.569012830972,"Female",59300,46800,"Low",56200,40200
"34","Wesleyan University","Liberal Arts","Northeastern",FALSE,"CT","Private nonprofit","Other elite schools (public and private)",62849,46400,42100,22900,55500,44000,46400,63400,54700,33000,76400,49800,5.41801724137931,5.97140142517815,3.96523659305994,4.59590493601462,-26.1722541329218,-33.0140495473277,0.876704482171554,-12.9659978679056,"Female",57000,39600,"Low",46200,37300
"35","Yale University","Ivy League","Northeastern",FALSE,"CT","Private nonprofit","Ivy Plus",61620,67800,56600,32400,88200,53400,72400,124400,83200,52200,153300,136200,3.6353982300885,4.3547703180212,1.98135048231511,2.9625,10.0292112950341,-8.14670561506005,101.882505679974,35.0210970464135,"Female",100200,64900,"Low",54700,39100
"36","University of Delaware","State","Southern",FALSE,"DE","Public","Selective public",23357,48100,46700,31000,63600,25000,52700,64000,57000,39400,80900,42700,1.94237006237006,2.00059957173448,1.4598125,1.63908771929825,105.933981247592,99.9400607954789,174.007792096588,144.038189836023,"Female",59200,46400,"Low",63400,47300
"37","Florida Atlantic University","State","Southern",FALSE,"FL","Public","Selective public",19310,38800,36200,22500,49400,29300,40500,48300,43200,27500,61500,33800,1.99072164948454,2.13370165745856,1.5991718426501,1.78796296296296,100.932159502848,87.4676333505955,150.129466597618,123.718280683584,"Female",45200,37400,"Low",45600,37300
"38","Florida State University","State","Southern",TRUE,"FL","Public","Selective public",21408,39700,36500,23600,50100,32300,42300,53900,46400,30900,67400,44500,2.15697732997481,2.34608219178082,1.58871985157699,1.84551724137931,85.4446935724963,70.4970104633782,151.775037369208,116.741405082212,"Female",48700,37200,"Low",57000,47300
"39","University of Florida","State","Southern",TRUE,"FL","Public","Highly selective public",20085,47700,42600,26800,62000,37000,48100,65700,56000,36600,84100,53000,1.68427672955975,1.88591549295775,1.22283105022831,1.43464285714286,137.490664675131,112.09858103062,227.109783420463,178.815036096589,"Female",60300,43400,"Low",39700,33700
"40","Georgia State University","State","Southern",FALSE,"GA","Public","Selective public",24377,38100,35200,20900,50700,24900,39400,48200,43300,26000,62700,34000,2.55926509186352,2.77011363636364,2.02298755186722,2.2519168591224,56.2948681133856,44.3984083357263,97.7273659597161,77.6264511629815,"Female",44100,36000,"Low",42500,32100
"41","University of Georgia","State","Southern",TRUE,"GA","Public","Highly selective public",21981,45200,39900,25800,55600,48000,46000,59100,50500,32800,74200,49900,1.94522123893805,2.20360902255639,1.48771573604061,1.74106930693069,105.632136845457,81.52040398526,168.868568308994,129.743869705655,"Female",52900,40000,"Low",43900,34100
